[2025-05-26 13:36:35,778: INFO: main:logging is working]
[2025-05-28 16:02:12,286: INFO: common:yaml file<_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:02:12,303: INFO: common:yaml file<_io.TextIOWrapper name='params.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:02:12,309: INFO: common:created directory at: artifacts]
[2025-05-28 16:06:24,304: INFO: common:yaml file<_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:06:24,324: INFO: common:yaml file<_io.TextIOWrapper name='params.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:06:24,329: INFO: common:created directory at: artifacts]
[2025-05-28 16:06:24,334: INFO: common:created directory at: artifacts/data_ingestion]
[2025-05-28 16:06:39,379: INFO: common:yaml file<_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:06:39,384: INFO: common:yaml file<_io.TextIOWrapper name='params.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:06:39,386: INFO: common:created directory at: artifacts]
[2025-05-28 16:06:39,388: INFO: common:created directory at: artifacts/data_ingestion]
[2025-05-28 16:07:15,186: INFO: common:yaml file<_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:07:15,191: INFO: common:yaml file<_io.TextIOWrapper name='params.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:07:15,194: INFO: common:created directory at: artifacts]
[2025-05-28 16:07:15,197: INFO: common:created directory at: artifacts/data_ingestion]
[2025-05-28 16:07:23,144: INFO: common:yaml file<_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:07:23,149: INFO: common:yaml file<_io.TextIOWrapper name='params.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:07:23,152: INFO: common:created directory at: artifacts]
[2025-05-28 16:07:23,155: INFO: common:created directory at: artifacts/data_ingestion]
[2025-05-28 16:08:45,420: INFO: common:yaml file<_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:08:45,425: INFO: common:yaml file<_io.TextIOWrapper name='params.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:08:45,428: INFO: common:created directory at: artifacts]
[2025-05-28 16:08:45,428: INFO: common:created directory at: artifacts/data_ingestion]
[2025-05-28 16:08:47,170: INFO: 3929186474:file is downloaded]
[2025-05-28 16:10:31,528: INFO: common:yaml file<_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:10:31,535: INFO: common:yaml file<_io.TextIOWrapper name='params.yaml' mode='r' encoding='UTF-8'> loaded successfully]
[2025-05-28 16:10:31,541: INFO: common:created directory at: artifacts]
[2025-05-28 16:10:31,543: INFO: common:created directory at: artifacts/data_ingestion]
[2025-05-28 16:10:31,543: INFO: 2582114834:file already exist]
[2025-05-28 16:31:14,161: INFO: main:stage Data Ingestion stage initiated]
[2025-05-28 16:31:14,165: INFO: common:yaml file<_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='cp1252'> loaded successfully]
[2025-05-28 16:31:14,172: INFO: common:yaml file<_io.TextIOWrapper name='params.yaml' mode='r' encoding='cp1252'> loaded successfully]
[2025-05-28 16:31:14,174: INFO: common:created directory at: artifacts]
[2025-05-28 16:31:14,175: INFO: common:created directory at: artifacts/data_ingestion]
[2025-05-28 16:31:15,498: INFO: data_ingestion:file is downloaded]
[2025-05-28 16:31:15,745: INFO: main:stage Data Ingestion stage completed]
